eval_period,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all
model,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
top_n,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000
0,-0.1499832162967056,-0.16162216522273676,-0.13711807796131067,-0.10662277274598224,-0.0943733034184515,-0.09276472186895025,-0.04895530483412814,-0.13930214499829432,-0.15798526742330687,-0.09799780174288857,-0.06719425296119652,-0.07541924335634068,-0.03950854172610807,-0.029671721139916323,-0.00017914942339744279,0.031016881690740405,0.025076630229454208,0.020738011418171304,0.009285060685452182,0.00518100978955327,-0.02532231615148081,-0.20811177791659702,-0.10643596276479961,-0.08073640656290136,-0.06943654451191186,-0.08896422469425203,-0.06946877940857432,-0.042149093769848,0.03288644648600288,-0.08560271234619914,-0.06340979009773888,-0.029333648171089976,-0.04479550539813308,-0.0442432262909784,-0.06868601993578066,-0.22133973838620555,-0.24443601186866926,-0.1859488096892982,-0.18431618654317325,-0.18553966493252172,-0.11375953792281779,-0.14539437078137454
1,0.08769227458654036,0.053032234650896626,0.0056739232401532115,0.04197518971519197,-0.014288272151271257,0.003505418418246363,-0.048395991454837466,-0.009214428408297023,-0.02002367921987875,-0.03950571180002563,-0.023688025766309108,-0.025627542501630556,-0.003211007279948845,-0.017180069273133074,0.05488733075420008,0.030442921256254835,0.005531527791641473,-0.018059593447246218,-0.018531967737049484,-0.04124778455571487,-0.014453761136128927,-0.18850115407902457,-0.19664011437659293,-0.21913588567407533,-0.20386275970879364,-0.1855490719821322,-0.15653753714508656,-0.0599019380418919,0.021166534656951775,-0.07583090666508109,-0.025521645922462467,-0.007707482342242254,-0.004642580761735055,-0.07586045630546999,-0.06278867414273717,-0.1548477736672465,-0.03585048107938173,-0.0906153699761635,-0.05656117012969022,-0.0749872289639985,-0.054255230602108295,-0.09697959666603888
2,-0.10565060691751034,-0.015443995106864849,-0.011550059743862497,-0.04280938483990145,-0.03926012234262695,-0.03254237087200298,-0.03396442439264229,-0.13984122980048969,-0.13256246876156566,-0.07999685749153367,-0.06356827762776865,-0.04538579866711998,-0.019413072544034557,-0.023953454999639964,-0.030492785055725398,-0.11794783805164052,-0.13389893598299557,-0.11798427771705462,-0.09144060651305314,-0.04688145927739382,-0.022342432081647542,-0.023935418869184166,-0.041654815915148996,-0.013546303423548556,9.455951042909583e-05,-0.01682642457407605,-0.05309138812735156,-0.040871534359948426,-0.1793882261724241,-0.1449181239812346,-0.097155262803406,-0.09340536294126904,-0.06396228336147898,-0.016453520093158404,-0.054477475420693394,-0.19658280238308262,-0.2931435684782018,-0.21023170946334224,-0.17428746907014103,-0.16389124178169098,-0.11512168847701754,-0.10466459546555558
3,-0.10674015164137243,-0.1546756892007293,-0.07811277732635079,-0.05302981565563232,-0.046855773749297065,-0.07357276396994673,-0.06161593056775845,0.011682929373751299,0.016275908148298622,-0.03374564269764897,-0.018099613608410503,-0.011300979333865223,-0.0067215332751837335,-0.012927731121427465,-0.11948037715229227,-0.07075540943781325,-0.038630540845589686,-0.020536654546799947,-0.005235655237535206,-0.036840501329720665,-0.021542411503523474,-0.04588943307924348,0.02536017875296606,-0.002928403164277523,0.01577684276670705,0.01697318771279253,-0.008906690672191356,-0.051555084845911016,0.021879817192625006,-0.036648664266390164,-0.06588780874239855,-0.05255148407600142,-0.04166040306538266,-0.06233237299890638,-0.06233982917099149,0.03648507527123975,-0.0017237984816650565,-0.0632647191311829,-0.11061099874751038,-0.1458985550825971,-0.11337525171701976,-0.14187621268280756
4,0.12601453798019688,0.009065081869725452,0.038533034632125006,0.024587687595872983,0.0029501294251507147,-0.02679832604333777,-0.059354702153135964,0.043394643795884584,0.03624791380555288,0.026912216828349822,0.022909518722692337,0.0052454966276188255,-0.012139038014934718,-0.015359228240523496,0.05300883033842356,-0.03196759112972308,-0.012426218019567241,-0.04294229625282117,-0.028878964388785188,-0.0044165144371948895,-0.03498737019985766,-0.20211776838926263,-0.20414981964301843,-0.12200267995769319,-0.12317097044872723,-0.10447139517653711,-0.11144415698881913,-0.052646281487856494,-0.2813291681205853,-0.11368973574845502,-0.07089626907882722,-0.056749210660829885,-0.05482583650723916,-0.07024881838815282,-0.05515452204819584,-0.03776845755396353,-0.20230625025085097,-0.12094045358005362,-0.10060558940134486,-0.0728544844996667,-0.06814413897400076,-0.10110054685281156
5,0.0680165032052945,-0.045187452446953255,-0.05020472977366568,-0.07885835639464248,-0.0646545668023164,-0.08545094192462933,-0.054691162830937154,-0.06994092186790818,-0.06908318451191808,-0.10066088490743315,-0.08701808178164533,-0.0660094108687907,-0.03475228712466369,-0.01858286451191823,-0.04893040581598089,0.012756794672366947,0.02905128036429118,0.015956961591640745,0.017601023601361725,-0.013356736620056072,-0.027544270687372186,0.008303896013872814,-0.1096810381974795,-0.08288609222727068,-0.05491544192417739,-0.044656814846893406,-0.057392642912176786,-0.06088709943152221,-0.023430541377282798,-0.09961265676659745,-0.057098455830407555,-0.10270505841400883,-0.09991897532925142,-0.05678213972875559,-0.06547099553043392,-0.21597493953656985,-0.09252274289777669,-0.18074647029667795,-0.1922578831392273,-0.191986359366103,-0.17091957110032344,-0.1121927516359788
6,-0.1547982429256499,-0.08076543728203017,-0.15881860257797645,-0.16108395864013128,-0.1464729507676604,-0.0936049115948865,-0.038739349414037214,-0.0783865769604258,-0.029345414850847747,-0.04158036550747557,-0.04636115207372545,-0.04003996829795852,-0.01627917748252846,-0.010963051109715339,-0.20726666014649683,-0.18086664835007815,-0.11401722666922255,-0.0889522690520498,-0.08067518498514258,-0.08398380513858571,-0.027669758996937337,-0.13763952285241976,-0.04731217546848785,-0.06585767826234663,-0.05082427369222579,-0.03248055864947692,-0.04640441447896437,-0.04513815726376272,-0.02402656586409767,-0.0627941521474052,-0.013557745519983684,-0.07753330413760726,-0.064535278828203,-0.044433188120822927,-0.08302507423227162,-0.09069242161193596,-0.07183700254093354,-0.13269348974674114,-0.12391395597873074,-0.0868584024045922,-0.12478435115145939,-0.10225268991946569
7,-0.057789899175391846,-0.0026614142621234015,0.0057335941322676056,0.03779711780716254,0.05004176453397423,-0.006723987562492461,-0.04290344274571469,0.022612467224389508,0.02349899741825015,-0.00810819216486222,-0.021411648287840992,-0.010878291090136277,-0.030685414029493,-0.025614714713878352,-0.03622876764583922,-0.03251269510057432,-0.028028614616543098,-0.010252186837318706,-0.030102820142202447,-0.04269201629799782,-0.03655931186113595,-0.009966853521693098,0.014373936445713973,0.003581369090366497,0.01782042205735692,0.03625377225110557,-0.037510666894408594,-0.047107144614173806,-0.34922280726278776,-0.22120889293316073,-0.18180985584144335,-0.15028393378156674,-0.1184013474315924,-0.11094867312326928,-0.07522395559181679,-0.07072712382931076,-0.007512002874884438,-0.07809174394962262,-0.10755442371621311,-0.08882975650213001,-0.16436028414134468,-0.10224848482483744
8,-0.18485601254175807,-0.1110606215450604,-0.01881786066379226,-0.07956588831728796,-0.11603215449180772,-0.08465099739517017,-0.045779698775480646,0.013923980052907469,0.01335211708794779,-0.0042086765043336475,1.0126996266565658e-05,0.0038357938552266283,-0.004952036246627237,-0.015935119357516982,0.05183362118961611,-0.019995679054846338,-0.020713118500481145,-0.04584447490011098,-0.02613517595141053,-0.02317296582982725,-0.02614002223151643,0.11838118829679609,0.055407883424570634,-0.025196450863419897,-0.006629839625358823,-0.015379758482770648,-0.06720557397916999,-0.06435756223959055,0.07321475436130664,-0.03673360556016418,-0.021730927901589873,-0.021590090436661543,-0.05914309184785555,-0.08179504182171096,-0.0792607342316231,-0.0651941631981525,0.004676593097550497,-0.024493793737464954,-0.07798963503706471,-0.09088139567110698,-0.09600668855016614,-0.12433324642550352
9,0.01298115444858492,-0.050748886228619214,-0.14503903009717087,-0.1314350605804272,-0.10307541793588644,-0.08597860541840995,-0.04235378353524908,-0.05374982667678192,-0.019908763984970584,-0.008677015742772751,-0.007487660947117713,-0.0035045717176292093,-0.027433051247627772,-0.018315755849789585,0.010484465439353729,-0.026102233220902916,-0.044161724987789926,-0.046447287983702026,-0.040738186167165714,-0.02589748476704972,-0.010426148555613399,0.11431636852836871,0.04841740991620188,0.04140661948443846,0.06000388192829762,0.04368442744664391,0.017852289633638073,-0.04463195036195539,-0.12432971651556549,0.007054955061667009,-0.033373637885345454,-0.05640574779039805,-0.0234286585213849,-0.04286603521131918,-0.058192664868188373,0.02543746393581888,-0.05570657677416559,-0.08744034094406437,-0.13849446132714,-0.1254353040762226,-0.13393735794951153,-0.1158182290750252
10,-0.15443139417085985,-0.16034488967326968,-0.14336680440198524,-0.10846291710939049,-0.08671552387974475,-0.07097057649535325,-0.05821236905914936,0.0030112661106254856,0.012465674856621698,-0.014767831597007708,-0.006576151591142887,-0.002718039174593787,-0.011325104436730914,-0.018218347710832805,-0.11547172478738525,-0.028491985766918554,-0.061572694786542946,-0.050855059440169346,-0.05463342189518855,-0.017102146371087198,-0.03188736468552866,-0.0507446379987971,-0.015462912418428832,-0.05021412978561834,-0.0679677652881568,-0.043826064387924184,-0.03481157155282261,-0.06834559529865003,-0.31596226118683823,-0.21122862764659628,-0.14910949737106055,-0.09503307725452721,-0.11227737479787152,-0.09232577173728335,-0.06630563464738505,0.1827411748994237,0.007260592116086378,-0.012862982777513807,0.010218661600720704,-0.024059789112480513,-0.10169364647380212,-0.12246259861808227
11,0.06137232337289657,0.03174735603501596,-0.0039755156750286924,-0.006803257811295196,-0.013878082945119878,-0.06749574346530304,-0.07706249843748038,-0.03793315161530005,-0.054764164367500014,-0.0289866213761635,-0.019382029780805568,-0.011641013781023762,-0.011609830303275177,-0.01693685335358067,-0.11959853400648715,-0.1960086693033175,-0.13657678142223123,-0.08505393592588029,-0.08378546901262801,-0.050252463999922344,-0.031661566668143175,0.02142145701658494,0.027572989691300714,-0.00670322551679103,0.003311519428785853,0.009033179098220299,-0.0015556074971169742,-0.04515139777664504,0.05432494940468106,-0.025675486152420646,-0.02065342281117786,-0.05861409156219698,-0.03530654856140582,-0.01860593932956268,-0.07836175045717003,-0.1749098026953726,-0.1420653946177644,-0.13167670846100302,-0.16859989783614285,-0.20199268249006694,-0.1204967095886669,-0.10383694123400736
12,0.04026969713175904,-0.03252697665023716,-0.041072806850374774,-0.07749027206430754,-0.06890397703295385,-0.07116674337058605,-0.04235507915404851,-0.05714792370009454,-0.05253226381903753,-0.0293602631596431,-0.04816920968325589,-0.04301166279611418,-0.04165062952476959,-0.019654650945880724,-0.02986637705475208,-0.07452234687453244,-0.09549233704118645,-0.059744412883131,-0.050030421443557585,-0.04714428612889103,-0.02901469295773155,-0.0513054508913414,-0.059187264823608254,-0.07191953283657909,-0.06952943465332646,-0.09288006512653867,-0.05913193958328999,-0.0541719441143992,-0.0013535685851280733,0.0018712114632365717,-0.018094057492034292,-0.028820594140984902,-0.02529486154300946,-0.07090774342309922,-0.08290805370182737,-0.1022535953198029,-0.1254746406817731,-0.0747442892288793,-0.08472194634705038,-0.08849019538258267,-0.08517305672229146,-0.09196079704092072
13,0.07114964889674309,-0.046895094366989985,-0.07014941076066421,-0.07381734227290332,-0.07018216649653077,-0.051784669799507306,-0.04316575574295827,-0.021358510680251373,-0.020567117831873667,-0.01887231659845645,-0.006934326325979451,-0.0016078587837098763,-0.03488734905945489,-0.021568260891991042,-0.12753932189590758,-0.08268143001823813,-0.06256674352706931,-0.04510069863721263,-0.07620417119128035,-0.02650992438278995,-0.030355775482311286,-0.07474786348421597,-0.05832252157928156,-0.014190698116560145,-0.01579289174380642,-0.03273076899776119,-0.021353175626460247,-0.0487102215539127,-0.02661732171253014,-0.074077583940215,-0.05292024316744078,-0.04659768840018683,-0.0630822246433273,-0.05193109510844232,-0.08153835185646535,-0.12674549764930626,-0.0342280599282329,-0.0013578262860015177,-0.0363876918957955,-0.0321697941053362,-0.09056103987511593,-0.09073284431673324
14,-0.13657131794056104,-0.028207970242108797,-0.10625838550583805,-0.09862740222898352,-0.07406013842955034,-0.07351427587052556,-0.05053842422239667,0.020451557321842628,0.01721681156253869,-0.035880935375599186,-0.031213948409229142,-0.030891360710087204,-0.032021635496718354,-0.028906431253921925,-0.07704622815582265,-0.07750488361412461,-0.09694985987097536,-0.07745038915464324,-0.06396319830525928,-0.052890053449811916,-0.026786387112074914,-0.014294194792409476,-0.07143717943760575,-0.05314250039096325,-0.0514846265212725,-0.061038155622453655,-0.048716712390277965,-0.051993375816424575,-0.20447835575995504,-0.09974702626095047,-0.06655445891268583,-0.0737812235375602,-0.0988038009634462,-0.05471794500041582,-0.07523063692416715,0.13691765406882683,0.009504875849478548,0.006785144430554949,-0.06095716800737298,-0.07847260314380591,-0.0776815202350525,-0.09592145576118988
15,-0.2952153633543147,-0.13000582538805863,-0.12687180969839293,-0.08212333317147752,-0.05229343653801041,-0.05454600707823716,-0.04867927743454244,-0.004871858008186415,-0.049886290129077256,-0.030143411605303795,-0.03950835939211446,-0.029682870392362396,-0.022674635139473515,-0.022557315508605222,0.07632110516064239,-0.008701301166871376,-0.0034109920849949406,-0.004832606222439804,-0.02223407541758112,-0.009952804127105964,-0.024740088014679,0.028679360594070176,-0.017233493549068744,-0.0559991515316338,-0.06751819188792614,-0.06692929910100884,-0.07935011555234472,-0.07357072508926714,-0.12178636168541783,-0.039583255216331194,-0.11801089187127124,-0.09164142142316037,-0.08151256750678454,-0.02975863737602328,-0.051762640640016504,-0.012003177983056019,-0.047680448685665414,-0.08700937523112155,-0.12797034895334897,-0.112255697731986,-0.12433513090060058,-0.10132914952581945
16,-0.11114042826860826,-0.04220387324016665,-0.05462485469217035,-0.07322188189315372,-0.08663916936121939,-0.056176826192126814,-0.06035638196594579,0.016390019902395758,-0.019364571558051154,-0.039571321866267564,-0.04830345165666808,-0.03392881948303368,-0.0430330441846093,-0.021214455240278957,-0.045083303062694105,-0.03251637978908984,-0.0056947773562516756,-0.004773454192465912,0.000297846477786341,-0.010991916435684212,-0.020304647966731912,-0.022876576877163275,-0.03382251609241621,-0.03400386947674968,-0.05943330863631191,-0.04838830404630126,-0.049918607348229414,-0.05715930924724083,-0.1656965905480313,-0.08372641101621683,-0.02234554030799792,-0.02029409904303694,-0.07078046860582994,-0.11354976502950502,-0.08531889619196278,-0.08412575665940902,-0.09911673519559769,-0.04384525024803299,-0.10472611140580079,-0.08296352323258475,-0.06979660475906879,-0.08123002986290467
17,-0.019956905185017602,-0.07429740717253573,-0.0532230998586036,-0.03754668002681945,-0.01592093158969281,0.0011489870356000457,-0.03211669524435578,0.012612592170596229,0.007125365287432397,0.01335995372845694,0.014626606630762668,0.01694472793137896,-0.0023265701509331653,-0.024083117500824733,-0.12791878874395812,-0.03762743094271341,-0.031102867052698917,-0.0527831388881857,-0.03139792875512187,-0.056758248402819005,-0.03550063646329107,0.11083819785013202,0.08279483872920089,0.06770611043050677,-0.020545864826850096,-0.040388358459262134,-0.02610555940610605,-0.05017225598812435,0.01157442848534398,0.016859971509965394,-0.07552953679819817,-0.07285349359229316,-0.1303886525155273,-0.06368777478699938,-0.0626009536118613,-0.14229503760575068,-0.06920171781300423,-0.026832859978820945,0.011233368533141408,-0.04157054495591602,-0.08735511201575204,-0.0988359298263815
18,0.0595308231126617,0.006988005284179352,0.009372534563308456,-0.027184745055269834,-0.07440530694079368,-0.0954885521543021,-0.06247331049767701,0.030012600673971806,-0.006592852285520166,-0.01662632960988244,-0.01329874371827434,-0.021134678431316938,-0.039652441473452225,-0.021064323120651755,0.06130143467392609,0.029512809015576114,0.024075453188847053,0.016648458747015066,0.011228034115177634,-0.003586377668670977,-0.015842086828682975,0.04458144783259414,-0.034092197108809716,-0.04665869732376324,-0.03875023330364693,-0.03616689018926045,-0.038961199242087685,-0.04504396318250014,-0.021524656548984344,-0.049646218302175346,-0.05395618842751689,-0.09744380274861905,-0.08381204333626106,-0.08567450163577262,-0.060415381599453845,-0.21816475378643957,-0.13994424861737398,-0.1781175304477068,-0.17777131723747036,-0.1456488591516023,-0.13176110265193114,-0.1193264642959895
19,-0.0006925107395457774,0.0041368950833257714,-0.0725118345448371,-0.09321907088747376,-0.07527595032791014,-0.05280839324129467,-0.03629348151339174,-0.11501327544676458,-0.04597291624539196,-0.03745756898922379,-0.021955099264404778,-0.03361441748979335,-0.016409801254247215,-0.014632048906774784,-0.022031326117077355,-0.06299510829083266,-0.034560871506801094,-0.0250143751752319,-0.0266489914495911,-0.020578577568858513,-0.03116571257056467,0.0748980955605187,0.06434022891968841,0.01283243703502739,-0.03390023903887922,-0.03392048989230369,-0.024764816609440042,-0.04108283755739286,0.012730411778564854,-0.07659420921505704,-0.08565120616598718,-0.05434232535956437,-0.05757422010757659,-0.1065085743473933,-0.07070131027021609,-0.1791735185339714,-0.23887191954884837,-0.1749897671294635,-0.1661034387669201,-0.14390074441225745,-0.14379257033917883,-0.10064029294224397
20,0.006942174515479088,0.03298451092573624,-0.005009136558386901,0.02816514798631816,0.008234182189781395,-0.038925791452310114,-0.03409257048769144,-0.10572776874744465,-0.09633602976319977,-0.06949627424980974,-0.08930500459190285,-0.06774493908596729,-0.04125990605207328,-0.02213800720642776,0.05844318197828672,-0.01684084682974645,-0.062013973506250805,-0.026151297161580156,-0.010132299790596249,-0.03597398927794378,-0.018661034928344606,0.04987700603685545,-0.022942936781084167,-0.0158420382623484,-0.011826116702157946,-0.002088059638196449,-0.03217418156863939,-0.04905220555856709,-0.039414815107766746,-0.0977569007197742,-0.08380071517259068,-0.05096703826313544,-0.061835295397279354,-0.06325829071231358,-0.07216690060490576,-0.1206698679954183,-0.1556794349815983,-0.1407628238443069,-0.14403237090910787,-0.1331314105537546,-0.14580627819399206,-0.10062863514130713
21,0.10759491478730068,0.07270563692593082,0.060395381545399696,0.010239044498367336,-0.015538288091623753,-0.01796433938809391,-0.040847783771167,-0.07430411411818214,-0.024187981724194348,-0.04887982954275754,-0.03467579668058626,-0.039331714592537155,-0.024025513546929087,-0.02306626503358706,-0.02495935101756327,-0.013157006839952318,0.011285988678725427,-0.009744337078609337,0.0036134701844700045,-0.022098519705076786,-0.022892794629838998,-0.03832748395655185,-0.0076898643114518385,-0.02528581903784279,-0.01771277811810934,-0.02131847103823584,-0.0172737688504737,-0.04817333020896418,-0.10017962836687913,-0.2436554649045858,-0.20733494964545834,-0.15078403842884555,-0.11707281449055541,-0.04562898656693329,-0.07185839114228548,-0.05880265083712287,-0.10719800914629726,-0.05992441988955512,-0.1125240344590593,-0.12242309091287248,-0.09325098464619183,-0.10937462045045929
22,-0.07024650378503858,-0.10480356222538637,-0.0754549966709365,-0.06859212579089227,-0.06244335364938108,-0.033331263707163085,-0.05044885426317839,-0.048002861193587,-0.008393571990495069,-0.0007418148624836751,0.0040595574860368055,0.008689140924933544,0.005536255621563181,-0.020017246867925866,0.01590254575933876,0.01664214578476334,-0.03061778174653509,-0.03659916777540663,-0.04428222996059949,-0.03998801361483377,-0.016328897465543987,-0.14377240269555558,-0.06971841501878004,-0.08574784436325995,-0.05203839324669296,-0.10792920403555194,-0.06981531376635065,-0.0353944588598765,-0.043249713761696854,-0.1472155790535457,-0.18917660899311795,-0.20516222380192173,-0.1866835048464402,-0.15123133547077613,-0.05908007370332848,0.05179820470906926,0.07528760764889855,0.004037380889185834,-0.03250631037059117,-0.08892150676733705,-0.08302326811053944,-0.10012861499197814
23,-0.08228838069624148,-0.10194336791341745,-0.12192771352846013,-0.09845873665322187,-0.13783835810288111,-0.08718300323963568,-0.06003584586588115,-0.13081968565998195,-0.05323415045435931,-0.03105497800858956,-0.03551098278729251,-0.029007095835045297,-0.021344683400353476,-0.016090360783028182,0.026298420179159614,0.03820031707731583,-0.0037880937759471323,0.006304474439993607,-0.012726756624260769,0.0011537355321869654,-0.030057593288014328,0.03657900620684775,-0.017280632767159066,-0.02180554458673848,-0.004032286595829731,0.009940633318605969,-0.017173821076984938,-0.0356646910912368,-0.049930659506527274,-0.09718472419739263,-0.10869247798742855,-0.1068740702393384,-0.10314145074374992,-0.10955230575963334,-0.08344512044031122,-0.17311310470770688,-0.17142540307304427,-0.20165952565733816,-0.2105944781060364,-0.2013841356967245,-0.13123626579215475,-0.10751952135612998
24,0.09235061105719515,0.0874239901374646,0.08715322124924743,0.04616554421263588,-0.0016039024439952875,-0.04171549472346117,-0.054162371815088685,-0.06535968804422318,-0.019844346814751505,-0.005307311321380086,-0.031122508975732016,-0.040365845818501854,-0.030092848409520388,-0.017777511152542082,0.06997344380136203,-0.01099486707123456,-0.04434487938037088,-0.04384053664983184,-0.050475075680146864,-0.0496920866045038,-0.03727115928537232,-0.10290853259300067,-0.056924231631193964,-0.08773889365610747,-0.1152803473820884,-0.12079879289853718,-0.06908223804587293,-0.049977162847035135,-0.12626945068987147,-0.06996396614561673,-0.0953273893671334,-0.12814954925379612,-0.11956714933842384,-0.07493930463806665,-0.07193563539368668,0.05606479773769331,-0.023369177916233653,0.02311758134982555,0.034507007008361026,-0.013666867854179664,-0.042984096612283376,-0.09627149201155023
25,0.02311203688901205,0.03804500150910372,0.0016674461682683716,-0.0010007006099087112,-0.020402922328659256,-0.07422308064669954,-0.03559923489973415,0.019528942936143375,-0.03040112934432009,-0.05021482989811831,-0.0733775444419982,-0.08217026649986861,-0.05202840337120862,-0.015857651359871223,-0.024236695031955052,0.01690527591353963,0.002032334810012392,-0.007924920006037308,-0.0065378507358446625,-0.004968371600601048,-0.021424785197579368,0.05429419332106813,0.06185350317639086,0.05690580147907578,0.0436712790689623,0.007155686003757567,-0.00450385833692605,-0.054640909372480076,-0.10778281964801914,-0.14237410424436664,-0.08129627487445794,-0.11337798672758162,-0.10231884153923311,-0.12481693368913215,-0.08497924922277034,-0.12271353166004909,-0.07536785446744829,-0.11835111726340113,-0.13414479210071423,-0.15014036707643594,-0.08221737518237171,-0.08953867184429706
26,-0.017261203564686477,-0.08373345324804135,-0.05979734534728629,-0.06379120717749923,-0.041260277864409646,-0.026091071597719503,-0.04582136316119007,0.023626035341538183,-0.01461544890365613,-0.04056206474423765,-0.059154820427011076,-0.042892082295838616,-0.03870162869181424,-0.02228557235802859,0.0702673116769141,0.023506969756808976,0.01180511519830304,-0.0062445190704003145,-0.010157752660111439,-0.029774994157437607,-0.013770105469163511,-0.1760742417227878,-0.10102288675854065,-0.05331791223969607,-0.038364825976049684,-0.0406480940563479,-0.04975400013663662,-0.047827600447922156,-0.24601866732627958,-0.135152198581791,-0.07300201125300905,-0.06279370422263318,-0.07085246796767439,-0.075761137770218,-0.07433791024585361,0.03398350408378477,-0.02415505787040621,-0.01885244933950562,-0.07758564014063825,-0.0490119166195643,-0.09969039827715641,-0.09215604402340409
27,-0.25419381706457267,-0.08953605660496862,-0.05503572190737076,-0.03937574044891,-0.06223678126796118,-0.04031646735266094,-0.06041801041768682,0.028534717905062724,0.019583810007755248,-0.07113827549598918,-0.06037760667468861,-0.04217035006069762,-0.035111751780490724,-0.02083790407787726,0.05916573231941387,0.05489881454050236,0.04172260672804053,0.022567694886029152,0.01626396271629028,-0.010829263896687208,-0.03689437854564022,-0.09841461332280046,-0.03680815273249133,-0.007525848482319371,-0.05278142223290102,-0.02874311896376331,-0.052928547448480606,-0.04187984644373462,-0.17014963155948343,-0.03528993980039098,-0.060058617631746004,-0.014738799489080976,0.006652256829201147,-0.0366589221993044,-0.06498271824623442,-0.10355567422535975,-0.13337755870438744,-0.1522540458674796,-0.11653148907775317,-0.09960683481220846,-0.15792234503905717,-0.11695685200449654
28,-0.21106592900924656,-0.1007956978356764,-0.09132643562329923,-0.07368418852579688,-0.07078188857365632,-0.05272159604969755,-0.050697248179749,-0.042175661617624274,-0.10122268280622264,-0.0610751517873867,-0.039969198590773816,-0.030095535820615475,-0.03755069437300482,-0.021528018857569612,-0.015920628411586858,0.020550419560877362,0.013761397110551849,-0.0018761603379667106,0.0084170289424995,-0.01584318086704541,-0.020519586437412727,0.0034325880984647783,0.03825079837151447,0.03409560393160846,0.03948860173078482,0.0334583726536131,-0.03272645593764838,-0.04595229506756739,0.002238094098497756,0.024678296692717174,-0.001449247998768751,-0.0074373786994420266,-0.07431562799121412,-0.0808251846090609,-0.07672917379928272,0.040728548111460025,-0.03903222316320393,-0.04692465323308017,-0.07808441413890341,-0.09926538857853502,-0.09219220720971007,-0.1168152741981781
29,-0.06550903139923388,-0.023925399822720284,-0.06034398890035498,-0.09372330587663044,-0.12423319271159661,-0.09708736891780402,-0.051047487920795484,0.02395344916915148,-0.03474573964270058,-0.02106351543748226,-0.015417562759547292,-0.020612203843703356,-0.00017744227942163238,-0.010478105454274914,-0.016260216072992034,0.019665695137287647,-0.00912285522118279,-0.0048153696105235205,0.007197774602814926,-0.028973517704185034,-0.026100057462617805,-0.008501321746284185,-0.10791317579518703,-0.07060700834722018,-0.04349877206920675,-0.02922002364269221,-0.05050056066582563,-0.05342528595108723,-0.1079374913149923,-0.04288892234877452,0.019977327554524735,-0.00019714999495708263,0.014078437928035101,-0.05736723599630853,-0.07899779974645384,-0.016810988259611182,-0.09729026166812668,-0.12680041641178683,-0.16014120531688264,-0.13919683550622788,-0.1626716946003263,-0.0998811244375922
